region_id,country_name,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,other_information_information_system_for_solid_waste_management,other_information_national_agency_to_enforce_solid_waste_laws_and_regulations,other_information_national_law_governing_solid_waste_management_in_the_country,other_information_ppp_rules_and_regulations,other_information_summary_of_key_solid_waste_information_made_available_to_the_public,population_population_number_of_people,special_waste_agricultural_waste_tons_year,special_waste_construction_and_demolition_waste_tons_year,special_waste_e_waste_tons_year,special_waste_hazardous_waste_tons_year,special_waste_industrial_waste_tons_year,special_waste_medical_waste_tons_year,total_msw_total_msw_generated_tons_year,waste_collection_coverage_rural_percent_of_geographic_area,waste_collection_coverage_rural_percent_of_households,waste_collection_coverage_rural_percent_of_population,waste_collection_coverage_rural_percent_of_waste,waste_collection_coverage_total_percent_of_geographic_area,waste_collection_coverage_total_percent_of_households,waste_collection_coverage_total_percent_of_population,waste_collection_coverage_total_percent_of_waste,waste_collection_coverage_urban_percent_of_geographic_area,waste_collection_coverage_urban_percent_of_households,waste_collection_coverage_urban_percent_of_population,waste_collection_coverage_urban_percent_of_waste,waste_treatment_anaerobic_digestion_percent,waste_treatment_compost_percent,waste_treatment_controlled_landfill_percent,waste_treatment_incineration_percent,waste_treatment_landfill_unspecified_percent,waste_treatment_open_dump_percent,waste_treatment_other_percent,waste_treatment_recycling_percent,waste_treatment_sanitary_landfill_landfill_gas_system_percent,waste_treatment_unaccounted_for_percent,waste_treatment_waterways_marine_percent,where_where_is_this_data_measured
SSF,Namibia,6152.987305,41.734392369375,4.756172671654971,4.276837596482353,18.418010410914285,15.277361084602273,11.687394075668571,2.6713207547169815,4.77203125,11.419939176078948,,,,,,1559983,90015688.23649433,57779234.47121622,14000.0,6934516.75975678,315096014.47525,3399482.6000285717,256729.0,100.0,38.385555555555555,50.99739130434783,31.75,100.0,60.02583333333333,73.49010869565218,85.02063013700001,100.0,79.05111111111111,81.22274999999999,69.46555555555557,0.2,8.138041567499998,42.213099385581394,28.434393906458336,47.84269841269842,54.79139928529412,13.236199999999998,4.5,44.35626678571428,95.5,38.025,
EAS,New Caledonia,57330.20313,43.6,5.5,10.0,9.3,10.9,16.5,4.2,4.77203125,11.419939176078948,,,Yes,,,278000,90015688.23649433,57779234.47121622,242295.0434065934,6934516.75975678,315096014.47525,324.0,108157.384,100.0,38.385555555555555,50.99739130434783,31.75,100.0,60.02583333333333,67.0,85.02063013700001,100.0,79.05111111111111,100.0,69.46555555555557,0.2,8.138041567499998,42.213099385581394,28.434393906458336,47.84269841269842,54.79139928529412,13.236199999999998,17.371565905725806,44.35626678571428,32.822129772340425,38.025,
SSF,Niger,1038.224121,38.0,4.756172671654971,1.0,57.0,2.0,2.0,2.6713207547169815,4.77203125,11.419939176078948,,,Yes,Yes,,8842415,90015688.23649433,57779234.47121622,7900.0,554000.0,315096014.47525,3399482.6000285717,1865645.67,100.0,38.385555555555555,50.99739130434783,31.75,100.0,60.02583333333333,73.49010869565218,85.02063013700001,100.0,79.05111111111111,81.22274999999999,69.46555555555557,0.2,8.138041567499998,42.213099385581394,28.434393906458336,47.84269841269842,64.0,12.0,4.0,44.35626678571428,20.0,38.025,
SSF,Nigeria,4690.379395,41.734392369375,3.1,4.276837596482353,11.3,8.0,4.8,2.6713207547169815,4.77203125,11.419939176078948,,,Yes,Yes,,154402176,90015688.23649433,57779234.47121622,277000.0,6934516.75975678,315096014.47525,3399482.6000285717,27614830.07,100.0,38.385555555555555,50.99739130434783,31.75,100.0,60.02583333333333,73.49010869565218,85.02063013700001,100.0,79.05111111111111,81.22274999999999,69.46555555555557,0.2,8.138041567499998,42.213099385581394,28.434393906458336,40.0,54.79139928529412,60.0,17.371565905725806,44.35626678571428,32.822129772340425,38.025,
LCN,Nicaragua,4611.840332,41.734392369375,4.756172671654971,4.276837596482353,18.418010410914285,15.277361084602273,11.687394075668571,2.6713207547169815,4.77203125,11.419939176078948,,,Yes,,,5737723,90015688.23649433,57779234.47121622,10800.0,2837.0,315096014.47525,3399482.6000285717,1528816.293,100.0,38.385555555555555,50.99739130434783,31.75,100.0,60.02583333333333,92.3,85.02063013700001,100.0,79.05111111111111,81.22274999999999,69.46555555555557,0.2,8.138041567499998,42.213099385581394,28.434393906458336,19.6,59.3,21.1,17.371565905725806,44.35626678571428,32.822129772340425,38.025,
ECS,Netherlands,56849.375,35.0,5.4,4.3,20.24,21.0,14.0,2.6713207547169815,4.77203125,11.419939176078948,Yes,Yes,Yes,No,,17332850,14718640.0,96206470.0,534410.0,4830495.0,315096014.47525,2391871.0,8805088.0,100.0,38.385555555555555,50.99739130434783,31.75,100.0,60.02583333333333,73.49010869565218,100.0,100.0,79.05111111111111,81.22274999999999,69.46555555555557,0.2,27.1,42.213099385581394,47.369,1.412,54.79139928529412,13.236199999999998,24.61,44.35626678571428,32.822129772340425,38.025,
ECS,Norway,64962.26172,15.49,4.6,6.12,13.15,26.57,2.25,2.6713207547169815,17.21,14.68,Yes,Yes,Yes,Yes,Yes,5347896,399805.0,3030449.0,150000.0,1482000.0,415000.0,1054590.0,4149967.25,100.0,38.385555555555555,50.99739130434783,31.75,100.0,60.02583333333333,99.0,85.02063013700001,100.0,79.05111111111111,81.22274999999999,69.46555555555557,0.2,16.69,42.213099385581394,52.35,47.84269841269842,54.79139928529412,13.236199999999998,26.16,3.38,1.42,38.025,
SAS,Nepal,2902.249268,52.39,4.36,1.9,7.12,18.21,15.14,0.9,4.77203125,11.419939176078948,,Yes,Yes,Yes,,28982772,90015688.23649433,57779234.47121622,23000.0,5051.0,315096014.47525,13408.27,1768977.49,100.0,38.385555555555555,50.99739130434783,50.0,100.0,60.02583333333333,73.49010869565218,62.3,100.0,79.05111111111111,81.22274999999999,80.0,0.2,2.87,42.213099385581394,28.434393906458336,37.0,54.79139928529412,13.236199999999998,17.371565905725806,44.35626678571428,60.13,38.025,At generator level
EAS,Nauru,11167.31934,43.6,5.5,10.0,9.3,10.9,16.5,4.2,4.77203125,11.419939176078948,,Yes,Yes,No,,13049,90015688.23649433,57779234.47121622,242295.0434065934,6934516.75975678,315096014.47525,3399482.6000285717,6191.7505,100.0,38.385555555555555,50.99739130434783,31.75,100.0,60.02583333333333,100.0,85.02063013700001,100.0,79.05111111111111,100.0,69.46555555555557,0.2,8.138041567499998,42.213099385581394,28.434393906458336,47.84269841269842,54.79139928529412,13.236199999999998,17.371565905725806,44.35626678571428,32.822129772340425,38.025,
EAS,New Zealand,41857.47656,28.0,4.0,4.5,37.0,7.0,8.0,1.0,11.0,11.419939176078948,Yes,Yes,Yes,Yes,Yes,4692700,132.5342,3000000.0,95000.0,6934516.75975678,1750000.0,3399482.6000285717,3405000.0,100.0,38.385555555555555,50.99739130434783,31.75,100.0,60.02583333333333,97.0,85.02063013700001,100.0,79.05111111111111,81.22274999999999,69.46555555555557,0.2,8.138041567499998,42.213099385581394,28.434393906458336,100.0,54.79139928529412,13.236199999999998,17.371565905725806,44.35626678571428,32.822129772340425,38.025,
